,0,1,2,3
210,13:50:00,10.8,15.8,204.3
211,13:50:01,10.8,15.8,204.4
212,13:50:02,11.6,15.8,204.5
1463,14:10:57,24.7,16.7,112
220,13:50:10,12.6,18.2,161.2
221,13:50:11,12.6,18.2,190.1
222,13:50:12,12.5,18.2,209.2
223,13:50:13,12.6,18.2,208.8
224,13:50:14,12.8,18.2,208.7
225,13:50:15,12.6,18.2,208.7
226,13:50:16,12.9,18.2,208.8
227,13:50:17,12.6,18.2,209.2
228,13:50:18,12.5,18.2,209.4
229,13:50:19,12.7,18.2,209.8
230,13:50:20,12.6,18.2,210.2
231,13:50:21,12.6,18.2,210.3
232,13:50:22,12.6,18.2,210.6
233,13:50:23,12.6,18.2,210.8
234,13:50:24,12.6,18.2,211
235,13:50:25,12.6,18.2,211.1
236,13:50:26,12.6,18.2,211.2
237,13:50:27,12.5,18.2,211.2
238,13:50:28,13.2,18.2,211.3
239,13:50:29,12.7,18.2,211.3
240,13:50:30,12.6,18.2,211.1
241,13:50:31,12.6,18.2,210.6
242,13:50:32,12.7,18.2,210.4
243,13:50:33,12.8,18.2,210.3
244,13:50:34,12.6,18.2,210.2
245,13:50:35,13.2,18.2,210.1
246,13:50:36,12.6,18.2,210.2
247,13:50:37,12.8,18.2,209.9
500,13:54:51,19.8,18.3,115
1133,14:05:26,23.6,18.5,116.7
1477,14:11:48,70.3,18.9,283.6
362,13:52:33,19.8,20,169.9
466,13:54:17,24.5,20.5,100.3
255,13:50:45,14.4,20.6,179.3
256,13:50:46,14.3,20.6,179.5
257,13:50:47,14.3,20.6,208.5
258,13:50:48,14.4,20.6,208.7
259,13:50:49,14.5,20.6,215.9
260,13:50:50,14.6,20.6,216.3
261,13:50:51,14.4,20.6,216.5
262,13:50:52,14.3,20.6,216.7
263,13:50:53,14.3,20.6,216.9
264,13:50:54,14.4,20.6,217.3
265,13:50:55,14.4,20.6,217.5
266,13:50:56,14.4,20.6,217.8
267,13:50:57,14.4,20.6,217.9
268,13:50:58,14.4,20.6,218.2
269,13:50:59,14.4,20.6,218.7
270,13:51:00,14.3,20.6,218.9
271,13:51:01,14.4,20.6,219.1
272,13:51:02,14.5,20.6,219.3
273,13:51:03,14.7,20.6,219.5
274,13:51:04,14.6,20.6,219.6
275,13:51:05,14.4,20.6,219.8
276,13:51:06,14.4,20.6,220.1
277,13:51:07,14.5,20.6,220.1
278,13:51:08,14.3,20.6,220.3
279,13:51:09,14.3,20.6,220.4
280,13:51:10,14.4,20.6,220.5
281,13:51:11,14.3,20.6,220.6
282,13:51:12,14.3,20.6,220.6
1099,14:04:52,34.8,21.2,120.6
676,13:57:48,27.1,22.7,115.3
817,14:00:09,25.4,22.7,118.3
291,13:51:21,16.2,23,185
292,13:51:22,16.2,23,211
293,13:51:23,16.2,23,226.4
294,13:51:24,16.3,23,226.5
295,13:51:25,16.2,23,226.5
296,13:51:26,16.3,23,226.5
297,13:51:27,16.3,23,226.6
298,13:51:29,16.3,23,226.5
299,13:51:30,16.4,23,226.5
300,13:51:31,20.6,23,233.3
301,13:51:32,16.2,23,227.6
302,13:51:33,16.2,23,227.6
303,13:51:34,16.7,23,227.6
304,13:51:35,16.7,23,227.7
305,13:51:36,16.2,23,227.7
306,13:51:37,16.3,23,227.6
307,13:51:38,16.3,23,227.5
308,13:51:39,16.1,23,227.6
309,13:51:40,16.2,23,227.7
310,13:51:41,16.2,23,227.6
311,13:51:42,16.1,23,227.5
312,13:51:43,16.4,23,227.4
313,13:51:44,16.2,23,227.4
314,13:51:45,16.1,23,227.4
315,13:51:46,16.2,23,227.5
316,13:51:47,16.7,23,227.5
317,13:51:48,16.2,23,227.5
318,13:51:49,16.1,23,227.5
783,13:59:35,31.1,23.1,161
1094,14:04:47,55.5,23.6,324.1
749,13:59:01,30.5,24.8,119.2
327,13:51:58,18,25.4,236.2
328,13:51:59,18,25.4,230.7
329,13:52:00,17.9,25.4,231
330,13:52:01,18,25.4,231.6
331,13:52:02,18.1,25.4,232
332,13:52:03,17.9,25.4,232.3
333,13:52:04,18.4,25.4,232.7
334,13:52:05,17.9,25.4,232.9
335,13:52:06,17.9,25.4,233.2
336,13:52:07,18,25.4,233.3
337,13:52:08,18,25.4,233.5
338,13:52:09,17.9,25.4,233.7
339,13:52:10,18,25.4,233.8
340,13:52:11,17.9,25.4,234
341,13:52:12,18.2,25.4,234.1
342,13:52:13,18,25.4,234.2
343,13:52:14,18.4,25.4,234.3
344,13:52:15,17.9,25.4,234.4
345,13:52:16,17.9,25.4,234.4
346,13:52:17,18,25.4,234.4
347,13:52:18,17.9,25.4,234.5
348,13:52:19,18,25.4,234.4
349,13:52:20,17.9,25.4,234.6
350,13:52:21,17.9,25.4,234.8
351,13:52:22,18,25.4,235
352,13:52:23,18,25.4,235
353,13:52:24,17.9,25.4,235
354,13:52:25,18,25.4,235.1
355,13:52:26,17.9,25.4,235.1
495,13:54:46,25.3,26.6,260.2
1163,14:05:56,59.1,26.6,326.1
432,13:53:43,23.4,27.1,170.8
535,13:55:26,28.7,27.5,110
363,13:52:34,20.2,27.8,220.9
364,13:52:35,19.8,27.8,237.6
365,13:52:36,20,27.8,238
366,13:52:37,19.7,27.8,238.3
367,13:52:38,19.9,27.8,238.6
368,13:52:39,19.8,27.8,238.9
369,13:52:40,19.7,27.8,239.3
370,13:52:41,19.8,27.8,239.6
371,13:52:42,19.9,27.8,239.8
372,13:52:43,19.7,27.8,239.9
373,13:52:44,19.8,27.8,239.8
374,13:52:45,19.7,27.8,239.6
375,13:52:46,19.8,27.8,239.4
376,13:52:47,19.8,27.8,239.5
377,13:52:48,19.7,27.8,239.5
378,13:52:49,19.7,27.8,239.5
379,13:52:50,20.1,27.8,239.6
380,13:52:51,19.7,27.8,239.7
381,13:52:52,19.7,27.8,239.8
382,13:52:53,19.8,27.8,240
383,13:52:54,19.7,27.8,240.1
384,13:52:55,19.7,27.8,240
385,13:52:56,19.8,27.8,240
386,13:52:57,19.9,27.8,240.2
387,13:52:58,19.8,27.8,240.3
388,13:52:59,19.8,27.8,240.4
389,13:53:00,19.7,27.8,240.5
390,13:53:01,19.8,27.8,240.2
1172,14:06:05,40.6,28,121.3
669,13:57:40,34.1,28.6,282
1473,14:11:33,43.6,28.8,160
398,13:53:09,21.6,29,202
408,13:53:19,21.6,30.1,245.5
409,13:53:20,21.6,30.1,245.4
410,13:53:21,21.5,30.1,245.3
411,13:53:22,21.5,30.1,245.5
412,13:53:23,21.6,30.1,245.4
413,13:53:24,21.7,30.1,245.4
414,13:53:25,21.6,30.1,245.5
415,13:53:26,21.6,30.1,245.6
416,13:53:27,21.5,30.1,245.7
417,13:53:28,21.6,30.1,245.6
418,13:53:29,21.8,30.1,245.5
419,13:53:30,21.6,30.1,245.5
424,13:53:35,21.6,30.1,245.3
425,13:53:36,21.6,30.1,245.4
426,13:53:37,21.5,30.1,245.4
399,13:53:10,21.7,30.2,247.6
400,13:53:11,21.5,30.2,246.9
401,13:53:12,21.5,30.2,246.8
402,13:53:13,21.6,30.2,246.5
403,13:53:14,21.6,30.2,246.3
404,13:53:15,21.5,30.2,246
405,13:53:16,21.6,30.2,245.7
406,13:53:17,21.7,30.2,245.7
407,13:53:18,21.6,30.2,245.6
420,13:53:31,21.6,30.2,245.4
421,13:53:32,21.6,30.2,245.5
422,13:53:33,21.6,30.2,245.5
423,13:53:34,21.6,30.2,245.4
640,13:57:11,34,30.6,106.6
887,14:01:19,38.2,30.7,114.3
852,14:00:44,43,32,150.8
433,13:53:44,23.3,32.5,227.2
434,13:53:45,23.4,32.5,246.1
435,13:53:46,23.3,32.5,251.2
436,13:53:47,23.4,32.5,251.2
437,13:53:48,23.3,32.5,251.5
438,13:53:49,23.3,32.5,251.6
439,13:53:50,23.4,32.5,251.4
440,13:53:51,23.3,32.5,251.4
441,13:53:52,23.3,32.5,251.3
442,13:53:53,23.4,32.5,251.5
443,13:53:54,23.5,32.5,251.4
444,13:53:55,23.3,32.5,251.4
445,13:53:56,23.3,32.5,251.3
446,13:53:57,23.5,32.5,251.2
447,13:53:58,23.3,32.5,251.2
448,13:53:59,23.4,32.5,251.3
449,13:54:00,23.3,32.5,251.4
450,13:54:01,23.3,32.5,251.5
451,13:54:02,23.4,32.5,251.5
452,13:54:03,23.4,32.5,251.4
453,13:54:04,23.7,32.6,251.3
454,13:54:05,23.4,32.6,251.4
455,13:54:06,23.4,32.6,251.4
456,13:54:07,23.6,32.6,251.5
457,13:54:08,23.3,32.6,251.5
458,13:54:09,23.4,32.6,251.6
459,13:54:10,23.5,32.6,251.6
460,13:54:11,23.3,32.6,251.6
1029,14:03:42,49.7,32.8,201.2
467,13:54:18,25.2,34.9,212.2
468,13:54:19,25.1,34.9,212.7
469,13:54:20,25.1,34.9,254.5
470,13:54:21,25.1,34.9,254.4
471,13:54:22,25,34.9,254.7
472,13:54:23,25.2,34.9,255.1
473,13:54:24,25.1,34.9,255.2
474,13:54:25,25.2,34.9,255.3
475,13:54:26,25.2,34.9,255.6
476,13:54:27,25,34.9,255.9
477,13:54:28,25.1,34.9,256
478,13:54:29,25.2,34.9,256.2
479,13:54:30,25.1,34.9,256.5
480,13:54:31,25.1,34.9,256.7
481,13:54:32,25.1,34.9,256.9
482,13:54:33,25,34.9,257
483,13:54:34,25.7,34.9,257.2
484,13:54:35,25.6,34.9,257.5
485,13:54:36,25.1,34.9,257.6
486,13:54:37,25.1,34.9,257.9
487,13:54:38,25.3,34.9,258.1
488,13:54:39,25.1,34.9,258.5
489,13:54:40,25.1,34.9,258.9
490,13:54:41,25.2,34.9,259.2
491,13:54:42,25.1,34.9,259.4
492,13:54:43,25.2,34.9,259.8
493,13:54:44,25.2,34.9,259.9
494,13:54:45,25.1,34.9,260.1
957,14:02:29,46.1,36.6,120.7
1208,14:06:41,59.2,36.6,117.2
